,__name__,container,cpu_architecture,endpoint,instance,job,namespace,block_devices_used,bytes_read,bytes_writes,cache_miss,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,container_cpu_usage_seconds_total,container_memory_working_set_bytes,cpu_cycles,cpu_instr,cpu_time,energy_in_core_joule,energy_in_dram_joule,energy_in_gpu_joule,energy_in_other_joule,energy_in_pkg_joule,energy_in_uncore_joule,name,pod,service,timestamp,node_energy_stat
0,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,13,0,1089536,15829273,309417,2236416,86822,309417,0,0,14180950743,11190067294,211764,113.889000,139.808000,0.000000,0.000000,253.697000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164778,0
1,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,13,0,1126400,15653624,520034,6656000,218678,520034,0,0,13419518725,10862338996,214960,129.437000,136.188000,0.000000,0.000000,265.625000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165009,0
2,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,13,0,1413120,12379966,213901,1495040,98280,213901,0,0,10937118557,6834576751,233694,109.060000,133.351000,0.000000,0.000000,242.411000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164910,0
3,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,13,0,2260992,17133156,1117714,1855488,88090,1117714,2,0,14601256124,15215148209,230920,148.683000,131.956000,0.000000,0.000000,280.639000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164601,0
4,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,13,0,81920,4645893,256726,3633152,42273,256726,0,0,13333126081,25547862484,182440,156.396000,125.181000,0.000000,0.000000,281.577000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164628,0
5,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,13,0,978944,23582403,2262260,3723264,719573,2262260,0,0,39524173693,66368035118,234992,198.097000,157.022000,0.000000,0.000000,355.119000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165420,0
6,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,13,0,983040,13175993,185646,1327104,82003,185646,0,0,14408815048,16906783587,188299,146.238000,138.219000,0.000000,0.000000,284.457000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165240,0
7,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,0,129357662,96204981,2482176,166148,96204981,0,0,272664384642,604386766493,302844,439.285000,161.851000,0.000000,0.000000,601.136000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164484,0
8,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,0,12964119,5645134,4694016,702862,5645134,1,0,23530071934,40014242150,131145,177.596000,156.282000,0.000000,0.000000,333.878000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666164511,0
9,node_energy_stat,kepler-exporter,Broadwell,http,node1,kepler-exporter,monitoring,14,0,0,13961483,274736,1363968,51051,274736,1,0,41766695766,93087319748,225275,189.811000,151.005000,0.000000,0.000000,340.816000,0.000000,node1,kepler-exporter-9qlzt,kepler-exporter,1666165033,0
